id,name,population,lat,lon
01069,Houston County,108556,31.153199634484977,-85.302469804156
01023,Choctaw County,12263,32.019771927998505,-88.26317957436753
01113,Russell County,58792,32.28839605071462,-85.18492314998896
10005,Sussex County,263975,38.66056517707048,-75.39004593209847
01071,Jackson County,53423,34.779456714150356,-85.99934958978494
01089,Madison County,413891,34.76309402429728,-86.5502265176419
04015,Mohave County,223801,35.7040844089004,-113.75789998495883
05017,Chicot County,9507,33.266961957711146,-91.29373955185639
05121,Randolph County,18913,36.34149212716077,-91.02762873041836
05073,Lafayette County,6082,33.241575918949856,-93.60700287781276
05057,Hempstead County,19321,33.73537599209696,-93.66841898033059
06079,San Luis Obispo County,282007,35.387108027524256,-120.40435498612504
06081,San Mateo County,734267,37.42279854049307,-122.32908026229602
06091,Sierra County,3180,39.58033602771578,-120.51607716109073
08067,La Plata County,56401,37.28655363748302,-107.84332977644381
12007,Bradford County,27788,29.949951728877718,-82.1687698384982
10003,New Castle County,582325,39.57683190476191,-75.65269640803018
09190,Western Connecticut Planning Region,630201,41.322548007095115,-73.44745693817936
12009,Brevard County,646705,28.293713673167424,-80.73229909863393
12131,Walton County,86338,30.643593458641547,-86.1696918755525
12053,Hernando County,213415,28.553674533164422,-82.42404498326387
12047,Hamilton County,13721,30.496389335569454,-82.94793234823095
12065,Jefferson County,15547,30.43749255524742,-83.89529807499
12031,Duval County,1038833,30.331310414917997,-81.67145010086021
13105,Elbert County,20003,34.116804473747585,-82.8401035850581
13213,Murray County,41072,34.78842862293316,-84.7480698587788
16073,Owyhee County,12762,42.581423404376494,-116.1698934604826
16049,Idaho County,17928,45.844070173337975,-115.4675089620993
17105,Livingston County,35321,40.891562143006816,-88.55771268577983
17161,Rock Island County,141939,41.467309834136884,-90.5673501958077
27087,Mahnomen County,5332,47.325261674203325,-95.80905514044976
18089,Lake County,500591,41.41673035226675,-87.3821421318757
04013,Maricopa County,4615625,33.34901291471097,-112.49145654760581
06067,Sacramento County,1594506,38.4493194235005,-121.3442572981894
19159,Ringgold County,4646,40.735168683522176,-94.2439849102418
06107,Tulare County,480747,36.22017514010375,-118.80045587265482
06069,San Benito County,68341,36.60568007714103,-121.07497555690121
19163,Scott County,174589,41.6370977253207,-90.62324771378638
27053,Hennepin County,1263210,45.00456751005915,-93.47696443557405
17125,Mason County,12588,40.23962564421738,-89.91681164307803
36005,Bronx County,1375266,40.850068993910966,-73.86713899259036
20099,Labette County,19833,37.19130610818326,-95.2975734838813
36119,Westchester County,996926,41.162566778030836,-73.75610206512128
36053,Madison County,67152,42.912763074357656,-75.66964879012639
21235,Whitley County,36917,36.758096508709485,-84.14517679529887
44007,Providence County,667219,41.87214012615399,-71.57999282782895
36029,Erie County,948386,42.76394174101715,-78.73228062966997
48287,Lee County,18250,30.3106613071839,-96.96569565873153
36091,Saratoga County,238873,43.107368453097806,-73.86391411744668
01121,Talladega County,81083,33.38007978254874,-86.16588232576056
21133,Letcher County,20414,37.12117647386856,-82.85531209900864
38017,Cass County,198157,46.932976376890046,-97.24803345492101
39035,Cuyahoga County,1238679,41.42430248060755,-81.6585923743639
39061,Hamilton County,831559,39.195543287905366,-84.54276750333068
22075,Plaquemines Parish,22356,29.440602349722177,-89.6100288065765
22031,De Soto Parish,27161,32.05544434953951,-93.73725921002527
22111,Union Parish,20686,32.83182805572897,-92.374792822357
22115,Vernon Parish,46247,31.108334400383317,-93.1842770486504
01087,Macon County,18347,32.385938820175944,-85.69266136161312
01041,Crenshaw County,13168,31.73151285423881,-86.31355203339177
24005,Baltimore County,848676,39.46290040929693,-76.63948038401756
24019,Dorchester County,32922,38.48290815202451,-76.01254764784125
24017,Charles County,172268,38.50729491407278,-76.9921557442206
24015,Cecil County,105676,39.57124015294148,-75.94073580624429
25001,Barnstable County,232759,41.72435645359246,-70.29032302361479
25017,Middlesex County,1644932,42.485573554122254,-71.39179967006197
26103,Marquette County,67654,46.43131315283605,-87.64156402753181
26053,Gogebic County,14263,46.408738387423824,-89.6943138109623
26115,Monroe County,155590,41.92909432297043,-83.5393878875111
26141,Presque Isle County,13278,45.34011327011861,-83.91803614829891
27075,Lake County,10861,47.64105570957308,-91.44578694836837
27163,Washington County,279398,45.03882652516933,-92.88377123641932
28001,Adams County,28854,31.482878561531123,-91.35354859682238
28087,Lowndes County,57369,33.47293823099478,-88.44331635953985
28143,Tunica County,9380,34.65067454939704,-90.37498512251648
28139,Tippah County,21377,34.76835687745205,-88.90888868861714
29099,Jefferson County,231155,38.2609978331265,-90.53768251916034
30001,Beaverhead County,9889,45.13271285105742,-112.89884003273208
30105,Valley County,7475,48.36526489006163,-106.667460885656
30005,Blaine County,6884,48.43267990036686,-108.95862600571766
30029,Flathead County,113495,48.29514455520478,-114.04966607653202
33017,Strafford County,133608,43.296962526817524,-71.02884346045829
34001,Atlantic County,276937,39.47780786568735,-74.66127604338438
34009,Cape May County,94643,39.14944904652475,-74.80053191954325
34041,Warren County,111344,40.857158247709805,-74.99732787672757
34019,Hunterdon County,130633,40.56730404413646,-74.91222811417262
34025,Monmouth County,644941,40.26003995196917,-74.22162038517206
34023,Middlesex County,876119,40.439152656916164,-74.41174216457917
35045,San Juan County,120907,36.508518984854724,-108.32061757196033
36031,Essex County,36796,44.117191871362465,-73.77260309911709
37047,Columbus County,50140,34.26565635380619,-78.65499780468238
37039,Cherokee County,29952,35.133872178017626,-84.0634801405482
37149,Polk County,20030,35.27927731572594,-82.16966016073405
37009,Ashe County,27068,36.434068657366296,-81.50034291382624
37055,Dare County,38181,35.78237290908323,-75.79876555699413
37091,Hertford County,19234,36.35906552367521,-76.98200269349037
38097,Traill County,7957,47.454188987496565,-97.16158691518848
38053,McKenzie County,14282,47.740156266285034,-103.39531434358895
39167,Washington County,58513,39.45531644040517,-81.49528666110999
40095,Marshall County,15974,34.02448748341215,-96.76911391254662
02020,Anchorage Municipality,287932,61.149758486538914,-149.1081619174607
02180,Nome Census Area,9790,64.91112335007904,-164.0273855701247
02070,Dillingham Census Area,4626,59.800281801002896,-158.23456866042977
41015,Curry County,23273,42.4576436796493,-124.15678298433059
41007,Clatsop County,41089,45.99497583518023,-123.65573873362224
41035,Klamath County,70347,42.68635482772011,-121.65006431878015
